Driver,PrevLapTimeSeconds,CurrentLapTimeSeconds,EventName,PrevSeason,CurrentSeason,CurrentGridPosition
RUS,209.066,114.59483333333334,Belgian Grand Prix,2021,2022,5
SAI,223.237,114.3909761904762,Belgian Grand Prix,2021,2022,1
STR,241.179,116.62254761904762,Belgian Grand Prix,2021,2022,9
VER,207.071,114.1045,Belgian Grand Prix,2021,2022,14
VET,214.55,115.89685714285713,Belgian Grand Prix,2021,2022,10
ALO,76.77273239436619,80.85454166666666,Dutch Grand Prix,2021,2022,13
BOT,75.85909722222222,80.00898113207546,Dutch Grand Prix,2021,2022,16
GAS,76.29835211267606,80.96919444444444,Dutch Grand Prix,2021,2022,11
HAM,75.36565277777778,80.77484722222222,Dutch Grand Prix,2021,2022,4
LAT,78.11064285714285,81.27287142857142,Dutch Grand Prix,2021,2022,20
LEC,76.36866197183099,80.74586111111111,Dutch Grand Prix,2021,2022,2
MSC,79.24921739130434,81.05233333333334,Dutch Grand Prix,2021,2022,8
NOR,76.8693661971831,80.86220833333333,Dutch Grand Prix,2021,2022,7
OCO,76.82345070422535,80.88736111111112,Dutch Grand Prix,2021,2022,12
PER,76.80956338028169,80.84640277777777,Dutch Grand Prix,2021,2022,5
RIC,77.04678873239436,81.11856944444445,Dutch Grand Prix,2021,2022,17
RUS,78.19201449275361,80.65061111111112,Dutch Grand Prix,2021,2022,6
SAI,76.80135211267606,80.81512500000001,Dutch Grand Prix,2021,2022,3
STR,77.46738571428571,80.906,Dutch Grand Prix,2021,2022,10
TSU,78.26412499999999,78.55780952380952,Dutch Grand Prix,2021,2022,9
VER,75.07493055555557,79.55160563380281,Dutch Grand Prix,2021,2022,1
VET,77.49915714285714,81.02472222222222,Dutch Grand Prix,2021,2022,19
ALO,90.6776862745098,88.78448387096775,Italian Grand Prix,2021,2022,6
BOT,90.3833137254902,92.84476923076923,Italian Grand Prix,2021,2022,15
GAS,106.783,91.2057924528302,Italian Grand Prix,2021,2022,5
HAM,87.6894,91.18662264150943,Italian Grand Prix,2021,2022,19
LAT,90.77005882352941,92.89044230769231,Italian Grand Prix,2021,2022,10
LEC,87.71097959183673,91.13126415094341,Italian Grand Prix,2021,2022,1
MSC,92.5578076923077,91.24641509433962,Italian Grand Prix,2021,2022,17
NOR,89.1795,91.20222641509433,Italian Grand Prix,2021,2022,3
OCO,90.6901568627451,91.24215094339623,Italian Grand Prix,2021,2022,14
PER,90.14727450980394,91.20003773584905,Italian Grand Prix,2021,2022,13
RIC,87.77742857142857,88.48853333333334,Italian Grand Prix,2021,2022,4
RUS,90.68282352941178,89.93867307692307,Italian Grand Prix,2021,2022,2
SAI,90.48729411764705,91.1806037735849,Italian Grand Prix,2021,2022,18
STR,90.61945098039214,89.49110256410256,Italian Grand Prix,2021,2022,12
VER,88.54992,91.08511320754717,Italian Grand Prix,2021,2022,7
VET,92.04692307692306,88.8225,Italian Grand Prix,2021,2022,11
ALO,104.27089795918366,106.30213461538462,United States Grand Prix,2021,2022,14
BOT,102.79785714285715,105.7689375,United States Grand Prix,2021,2022,7
GAS,109.07442857142857,106.01266666666666,United States Grand Prix,2021,2022,11
HAM,101.39080357142858,103.15706,United States Grand Prix,2021,2022,3
LAT,104.9729090909091,108.12381132075471,United States Grand Prix,2021,2022,17
LEC,102.29996428571428,103.09034,United States Grand Prix,2021,2022,12
MSC,105.22525925925926,107.74545283018868,United States Grand Prix,2021,2022,16
NOR,102.87405357142858,107.3623396226415,United States Grand Prix,2021,2022,6
PER,102.12098214285713,103.41772,United States Grand Prix,2021,2022,9
RIC,102.73939285714286,108.8837962962963,United States Grand Prix,2021,2022,15
RUS,104.39547272727273,104.32752,United States Grand Prix,2021,2022,4
SAI,102.858875,115.016,United States Grand Prix,2021,2022,1
STR,104.28714545454545,108.42915789473685,United States Grand Prix,2021,2022,5
TSU,103.81965454545455,107.70283018867924,United States Grand Prix,2021,2022,19
VER,101.36699999999999,102.95738,United States Grand Prix,2021,2022,2
VET,103.85670909090909,104.4283,United States Grand Prix,2021,2022,10
ALO,84.89678571428571,84.9216507936508,Mexico City Grand Prix,2021,2022,9
BOT,86.26114492753624,85.13011428571428,Mexico City Grand Prix,2021,2022,6
GAS,84.2666338028169,85.13904285714285,Mexico City Grand Prix,2021,2022,14
HAM,83.60057746478873,83.54809859154929,Mexico City Grand Prix,2021,2022,3
LAT,86.55617391304348,86.5456811594203,Mexico City Grand Prix,2021,2022,18
LEC,84.50877464788732,84.30285915492958,Mexico City Grand Prix,2021,2022,7
NOR,84.93302857142857,85.08175714285714,Mexico City Grand Prix,2021,2022,8
OCO,85.60655714285714,85.02082857142857,Mexico City Grand Prix,2021,2022,10
PER,83.6174366197183,83.5890985915493,Mexico City Grand Prix,2021,2022,4
RIC,85.44250000000001,84.84665714285714,Mexico City Grand Prix,2021,2022,11
RUS,86.34620289855073,84.03042253521127,Mexico City Grand Prix,2021,2022,2
SAI,84.5930857142857,84.15284507042253,Mexico City Grand Prix,2021,2022,5
STR,85.89908695652174,85.52402857142857,Mexico City Grand Prix,2021,2022,20
VER,83.36740845070423,83.33421126760564,Mexico City Grand Prix,2021,2022,1
VET,84.70205714285714,85.37467142857143,Mexico City Grand Prix,2021,2022,16
ALO,79.48371428571429,83.43105633802816,São Paulo Grand Prix,2021,2022,17
BOT,78.2595352112676,83.61402816901409,São Paulo Grand Prix,2021,2022,14
GAS,79.24347142857143,83.6748028169014,São Paulo Grand Prix,2021,2022,10
HAM,78.06832394366197,83.3179295774648,São Paulo Grand Prix,2021,2022,2
LAT,80.16661428571427,83.81805633802817,São Paulo Grand Prix,2021,2022,18
LEC,78.76574647887324,83.41528169014084,São Paulo Grand Prix,2021,2022,5
MSC,81.38297101449275,83.71750704225353,São Paulo Grand Prix,2021,2022,12
NOR,79.52652857142857,82.71164,São Paulo Grand Prix,2021,2022,6
OCO,79.4767,83.5596338028169,São Paulo Grand Prix,2021,2022,16
PER,78.63085915492958,83.49470422535211,São Paulo Grand Prix,2021,2022,4
RUS,80.01341428571429,83.29639436619718,São Paulo Grand Prix,2021,2022,1
SAI,78.79818309859155,83.35345070422535,São Paulo Grand Prix,2021,2022,7
STR,82.16448936170214,83.62811267605633,São Paulo Grand Prix,2021,2022,15
VER,78.21615492957746,83.43802816901409,São Paulo Grand Prix,2021,2022,3
VET,79.54492857142857,83.66516901408451,São Paulo Grand Prix,2021,2022,9
ALO,101.62562790697675,98.4550625,Saudi Arabian Grand Prix,2021,2022,7
BOT,99.27225,98.26928125,Saudi Arabian Grand Prix,2021,2022,8
GAS,99.93597727272727,100.23285416666666,Saudi Arabian Grand Prix,2021,2022,9
HAM,97.34811627906977,100.37389583333334,Saudi Arabian Grand Prix,2021,2022,15
LAT,100.9099090909091,98.87614285714287,Saudi Arabian Grand Prix,2021,2022,18
LEC,99.61145454545455,96.81834042553193,Saudi Arabian Grand Prix,2021,2022,2
NOR,99.67572727272727,100.1001875,Saudi Arabian Grand Prix,2021,2022,11
OCO,98.57027906976744,99.02940425531914,Saudi Arabian Grand Prix,2021,2022,5
PER,98.1371,97.55534042553191,Saudi Arabian Grand Prix,2021,2022,1
RIC,98.83997674418605,100.43224242424243,Saudi Arabian Grand Prix,2021,2022,14
RUS,106.90781818181819,98.0222340425532,Saudi Arabian Grand Prix,2021,2022,6
SAI,100.03690909090909,97.14925531914895,Saudi Arabian Grand Prix,2021,2022,3
STR,102.07802222222223,101.48385106382979,Saudi Arabian Grand Prix,2021,2022,13
VER,97.68348837209304,96.88470212765958,Saudi Arabian Grand Prix,2021,2022,4
ALO,93.45671929824562,93.09462962962962,Abu Dhabi Grand Prix,2021,2022,10
BOT,93.5311724137931,92.90556140350877,Abu Dhabi Grand Prix,2021,2022,18
GAS,93.51510344827587,92.7449649122807,Abu Dhabi Grand Prix,2021,2022,17
HAM,92.41259649122807,91.94521818181818,Abu Dhabi Grand Prix,2021,2022,5
LAT,92.30982,94.4725090909091,Abu Dhabi Grand Prix,2021,2022,20
LEC,93.53885964912281,90.94284482758621,Abu Dhabi Grand Prix,2021,2022,3
MSC,95.19205263157895,93.06989473684212,Abu Dhabi Grand Prix,2021,2022,12
NOR,93.41061403508772,91.7611724137931,Abu Dhabi Grand Prix,2021,2022,7
OCO,93.50573684210526,91.77851724137932,Abu Dhabi Grand Prix,2021,2022,8
PER,91.86492727272727,90.96563793103448,Abu Dhabi Grand Prix,2021,2022,2
RIC,94.11425,92.22727586206896,Abu Dhabi Grand Prix,2021,2022,13
RUS,92.18372,91.41037931034482,Abu Dhabi Grand Prix,2021,2022,6
SAI,93.49168965517241,91.22079310344827,Abu Dhabi Grand Prix,2021,2022,4
STR,95.1811754385965,92.11801724137932,Abu Dhabi Grand Prix,2021,2022,14
TSU,93.50063793103449,92.3325,Abu Dhabi Grand Prix,2021,2022,11
VER,92.4019298245614,90.79162068965516,Abu Dhabi Grand Prix,2021,2022,1
VET,93.58505263157895,92.23813793103449,Abu Dhabi Grand Prix,2021,2022,9
ALB,103.64063157894736,100.46508771929825,Bahrain Grand Prix,2022,2023,15
ALO,103.08726315789474,99.56794736842104,Bahrain Grand Prix,2022,2023,5
BOT,102.97724561403508,100.16461403508771,Bahrain Grand Prix,2022,2023,12
GAS,100.78102272727273,100.18401754385964,Bahrain Grand Prix,2022,2023,20
HAM,102.86419298245615,99.78443859649123,Bahrain Grand Prix,2022,2023,7
HUL,103.81426315789474,101.08298214285715,Bahrain Grand Prix,2022,2023,10
LEC,100.69770909090909,99.64405128205128,Bahrain Grand Prix,2022,2023,3
MAG,102.95329824561404,100.95523214285716,Bahrain Grand Prix,2022,2023,17
