Driver,LapTime_first_year,LapTime_latter_year
GAS,93.51510344827587,92.7449649122807
GAS,99.99128888888889,
GAS,110.61432,108.80565957446808
GAS,86.6440909090909,83.58804347826087
GAS,124.981,86.6440909090909
GAS,86.56047692307692,90.48341538461538
GAS,84.2666338028169,85.13904285714285
GAS,102.09619607843138,94.13405660377357
GAS,83.6748028169014,78.67128571428572
GAS,106.783,91.2057924528302
GAS,109.07442857142857,106.01266666666666
GAS,93.53452631578948,96.17728070175438
GAS,78.67128571428572,88.44259701492538
GAS,76.81863380281689,82.40941666666667
GAS,90.68531884057971,80.00924637681159
GAS,72.17695774647888,73.34417391304348
GAS,217.248,115.72978048780489
GAS,100.18149019607844,100.78102272727273
GAS,81.47995714285715,90.68531884057971
GAS,87.06814492753624,124.981
GAS,92.7449649122807,91.25834482758621
GAS,93.36167213114754,88.38901639344262
GAS,109.31744642857143,98.6110892857143
GAS,100.90948,99.99128888888889
GAS,103.02425000000001,102.45436363636364
GAS,96.40059649122807,95.12336842105263
GAS,83.24199999999999,81.47995714285715
GAS,106.01266666666666,103.02425000000001
GAS,,108.05423404255319
GAS,112.41292207792208,93.94414285714286
GAS,81.0828787878788,81.24624242424242
GAS,121.21623076923076,102.72396721311476
GAS,100.19065573770492,99.50537704918034
GAS,73.11653521126762,72.17695774647888
GAS,100.98935555555555,102.46486666666667
GAS,86.81901428571429,86.77695714285714
GAS,84.54284615384616,112.41292207792208
GAS,85.14202941176471,87.06814492753624
GAS,76.29835211267606,80.96919444444444
GAS,86.08175,85.3122105263158
GAS,79.24347142857143,83.6748028169014
GAS,72.82454285714286,73.11653521126762
GAS,101.03768,102.09619607843138
HAM,81.9104126984127,87.42150793650794
HAM,80.77484722222222,84.65327142857143
HAM,80.75022857142856,90.47365217391304
HAM,108.064,101.22673214285714
HAM,113.63911363636363,109.0355909090909
HAM,99.03158490566038,100.92076923076924
HAM,71.90885915492959,72.85638028169014
HAM,85.48208571428572,84.6824
HAM,97.5862,102.86419298245615
HAM,80.33378787878787,80.57601515151515
HAM,93.14894736842105,95.90282456140352
HAM,95.90282456140352,94.59250877192983
HAM,97.71621818181818,93.14894736842105
HAM,83.3179295774648,79.15551428571429
HAM,109.11678571428571,97.86441071428571
HAM,111.07112,109.08368
HAM,84.2441282051282,109.83961038961039
HAM,84.97258490566038,83.80705660377359
HAM,72.85638028169014,71.63295774647887
HAM,91.15574603174603,84.2441282051282
HAM,85.2284,103.9671886792453
HAM,97.48968627450981,95.13575
HAM,84.66181818181819,89.31831818181819
HAM,82.69661428571429,80.75022857142856
HAM,76.32108333333333,76.61263636363637
HAM,76.98783333333334,91.15574603174603
HAM,,113.63911363636363
HAM,95.13575,107.64827659574468
HAM,89.31831818181819,80.33378787878787
HAM,84.6824,84.24098571428571
HAM,85.92366197183098,83.5918309859155
HAM,98.92286274509803,93.51254716981131
HAM,99.78443859649123,97.45729824561403
HAM,108.56404545454546,111.07112
HAM,95.492125,97.48968627450981
HAM,94.95504166666666,95.27227083333332
HAM,89.36118644067797,89.4075
HAM,71.63295774647887,72.23875714285714
HAM,84.65327142857143,76.32108333333333
HAM,90.18107017543859,87.48888679245283
HAM,91.18662264150943,87.42788235294118
HAM,109.08368,110.33262
HAM,98.99708064516129,98.42932258064516
HAM,83.60057746478873,83.54809859154929
HAM,83.54809859154929,84.11548529411765
HAM,93.03512244897958,95.492125
HAM,80.57601515151515,84.74065151515151
HAM,209.672,
HAM,79.15551428571429,89.13016417910447
HAM,92.41259649122807,91.94521818181818
HAM,87.48888679245283,85.2284
HAM,101.91575409836065,98.99708064516129
HAM,95.643625,94.95504166666666
HAM,78.06832394366197,83.3179295774648
HAM,83.97120588235295,85.48208571428572
HAM,109.83961038961039,78.01576923076924
HAM,100.20878,98.92286274509803
HAM,102.53736956521739,98.66564
HAM,97.34811627906977,100.37389583333334
HAM,109.0355909090909,113.51165853658537
HAM,119.84488235294117,101.91575409836065
HAM,87.42788235294118,84.97258490566038
HAM,,94.06752727272728
HAM,90.8111724137931,90.16851724137932
HAM,101.39080357142858,103.15706
HAM,71.56330985915493,71.90885915492959
HAM,110.33262,107.092625
HAM,75.36565277777778,80.77484722222222
HAM,103.15706,102.20691071428571
HAM,87.6894,91.18662264150943
HAM,90.47365217391304,78.90572857142857
HAM,102.20691071428571,108.064
HAM,91.94521818181818,90.8111724137931
HAM,84.24098571428571,83.05930434782609
HAM,97.45729824561403,100.27203571428572
HAM,102.86419298245615,99.78443859649123
HAM,84.11548529411765,85.92366197183098
HAM,100.37389583333334,95.643625
HAM,111.22670833333332,100.20878
HUL,101.59730612244898,100.18244
HUL,100.18244,94.50830188679247
HUL,90.76255072463768,78.97217142857143
HUL,103.77260714285714,102.16325454545455
HUL,76.96807042253522,82.35519444444444
HUL,72.06881690140844,72.977
HUL,79.57684057971014,88.30792592592591
HUL,96.32745614035088,95.22753571428572
HUL,87.0459,86.55028571428572
HUL,86.58534210526315,
HUL,81.96073913043479,90.76255072463768
HUL,,80.3340394736842
HUL,98.90964,95.76462500000001
HUL,94.18308928571427,98.32071794871794
HUL,103.42948780487806,99.71554
HUL,108.41190909090909,99.55003636363637
HUL,86.52936538461539,85.02406896551723
HUL,99.27395081967214,99.53126229508197
HUL,81.46518461538462,81.4309393939394
HUL,98.61382142857143,101.62994736842106
HUL,102.16325454545455,101.73946428571428
HUL,85.72714492753623,83.36955072463768
HUL,88.46472,86.76148076923076
HUL,93.5647543859649,96.32745614035088
HUL,96.20732692307692,106.56926086956521
HUL,109.71264583333334,110.39265999999999
HUL,101.08298214285715,98.61382142857143
HUL,85.02406896551723,104.74016666666667
HUL,82.04791666666667,72.06881690140844
HUL,91.48827586206896,90.8421551724138
HUL,81.4309393939394,84.7124696969697
HUL,95.76462500000001,96.80902127659576
HUL,85.61838571428572,76.96807042253522
HUL,111.04256818181817,114.19846341463413
HUL,86.55028571428572,85.00536
HUL,98.91540384615384,96.20732692307692
HUL,83.07304838709678,87.6745238095238
HUL,86.76148076923076,
HUL,103.40555737704918,99.27395081967214
HUL,110.39265999999999,108.14339583333333
HUL,99.7682765957447,98.90964
HUL,115.02045454545454,111.04256818181817
HUL,103.81426315789474,101.08298214285715
HUL,86.08597101449276,85.72714492753623
LAT,90.77005882352941,92.89044230769231
LAT,112.04052173913043,114.20869387755101
LAT,101.33117307692306,103.61005128205127
LAT,78.11064285714285,81.27287142857142
LAT,102.55860784313725,103.77857894736842
LAT,78.04811688311688,92.03032258064516
LAT,222.556,116.503675
LAT,85.35536764705883,87.75230434782608
LAT,80.16661428571427,83.81805633802817
LAT,72.54062857142857,73.47295833333334
LAT,87.04418461538462,91.327046875
LAT,95.7654693877551,100.08972549019607
LAT,92.30982,94.4725090909091
LAT,,88.57816393442623
LAT,104.9729090909091,108.12381132075471
LAT,86.55617391304348,86.5456811594203
LAT,100.9099090909091,98.87614285714287
LAW,94.39778571428572,95.86683928571428
LAW,87.43237142857143,96.3844
LAW,101.46307407407409,102.02446428571429
LEC,90.94284482758621,90.35546551724138
LEC,84.30285915492958,84.19160294117648
LEC,110.26808333333334,100.03676
LEC,93.17945614035088,94.78089285714286
LEC,84.30964285714286,82.26844285714286
LEC,,83.26222413793103
LEC,97.79474509803921,108.80957446808512
LEC,115.6982380952381,113.24338636363636
LEC,85.59941428571429,85.05644285714286
LEC,84.53679487179487,109.32074025974026
LEC,103.09034,102.60757142857143
LEC,107.07857142857144,108.67784
LEC,97.24300000000001,94.10120833333333
LEC,80.74586111111111,87.3498780487805
LEC,91.13126415094341,86.91215686274509
LEC,99.64405128205128,97.27036842105264
LEC,83.41528169014084,
LEC,75.98552777777778,78.7888076923077
LEC,118.34280769230769,102.19391803278688
LEC,109.21793181818181,112.61043902439025
LEC,81.47885714285714,87.52338095238095
LEC,98.62904838709677,97.87682258064517
LEC,89.69103703703703,81.09634848484849
LEC,93.07944897959183,95.70135416666666
LEC,85.05644285714286,84.30964285714286
LEC,90.35546551724138,90.08998275862069
LEC,91.91016071428571,93.57574545454546
LEC,99.8696888888889,98.80504
LEC,96.1480925925926,93.17945614035088
LEC,113.24338636363636,109.21793181818181
